participant,session,date,expName,psychopyVersion,OS,frameRate
691117,001,2022-11-14_01h48.51.984,Info_measure_main_exp,2022.2.2,Win32,59.80861244
691117,001,2022-11-14_01h48.51.984,Info_measure_main_exp,2022.2.2,Win32,59.80861244
