participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt,space_press_continue_2.keys,space_press_continue_2.rt,space_press_continue_3.keys,space_press_continue_3.rt,space_press_continue_4.keys,space_press_continue_4.rt,space_press_continue_5.keys,space_press_continue_5.rt,space_press_continue_6.keys,space_press_continue_6.rt,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_1.ran,mask_name
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,space,1.564,,,,,,,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,space,1.63,,,,,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,space,8.447,,,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,space,0.44,,,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,space,0.267,,,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,space,0.386,,,,,,
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,0,0,0,1,1,masks/mask_002.jpg
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,0,1,1,3,1,masks/mask_004.jpg
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,0,2,2,2,1,masks/mask_003.jpg
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,0,3,3,4,1,masks/mask_005.jpg
554728,001,2022-11-20_18h17.38.270,Info_measure_main_exp,2022.2.2,MacIntel,58.82352941,,,,,,,,,,,,,0,4,4,0,1,masks/mask_001.jpg
