participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt
5f4c1b5626199983e1285d83,001,2022-11-20_18h00.18.051,Info_measure_main_exp,2022.2.2,MacIntel,35.71428571,,
5f4c1b5626199983e1285d83,001,2022-11-20_18h00.18.051,Info_measure_main_exp,2022.2.2,MacIntel,35.71428571,,
5f4c1b5626199983e1285d83,001,2022-11-20_18h00.18.051,Info_measure_main_exp,2022.2.2,MacIntel,35.71428571,space,5.906
