participant,session,date,expName,psychopyVersion,OS,frameRate
155201,025,2022-11-21_02h11.41.897,Info_measure_main_exp,2022.2.2,Win32,74.92320372
155201,025,2022-11-21_02h11.41.897,Info_measure_main_exp,2022.2.2,Win32,74.92320372
