participant,session,date,expName,psychopyVersion,OS,frameRate
088615,001,2022-11-21_24h49.54.384,Info_measure_main_exp,2022.2.2,Win32,28.77035503
088615,001,2022-11-21_24h49.54.384,Info_measure_main_exp,2022.2.2,Win32,28.77035503
