Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,instruction_1_text.started,all_patches.started,space_press_continue.started,press_space_continue.started,Esc_exit.started,space_press_continue.keys,space_press_continue.rt,patch_1_movie.started,space_press_continue_2.started,Esc_exit_2.started,space_press_continue_2.keys,space_press_continue_2.rt,patch_2_movie.started,space_press_continue_3.started,Esc_exit_3.started,space_press_continue_3.keys,space_press_continue_3.rt,instruction_text_4.started,use_all_numbers.started,response_screen_intr.started,space_press_continue_4.started,space_continue_low.started,Esc_exit_4.started,space_press_continue_4.keys,space_press_continue_4.rt,instruction_text_5.started,response_screen_after.started,space_press_continue_5.started,space_continue_low_2.started,Esc_exit_5.started,space_press_continue_5.keys,space_press_continue_5.rt,prac_begin_space.started,space_press_continue_6.started,Esc_exit_6.started,space_press_continue_6.keys,space_press_continue_6.rt,Esc_exit_13.started,practice_patch_1.started,practice_patch_1.stopped,Esc_exit_13.stopped,Esc_exit_14.started,Esc_exit_12.started,practice_patch_2.started,practice_patch_2.stopped,Esc_exit_12.stopped,mouse_2.started,text.started,most_similar_3.started,most_different_3.started,Esc_exit_7.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,similarity,response_time,Pass,text_55.started,text_56.started,Esc_exit_8.started,text_55.stopped,text_56.stopped,Esc_exit_8.stopped,mouse_12.started,most_similar_4.started,most_different_4.started,Esc_exit_9.started,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_005.jpg,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.149031344990362,30.478703165994375,30.97134751599515,31.121189626996056,31.149031344990362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_001.jpg,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.21252595099213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_002.jpg,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.27340384699346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_003.jpg,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.32623353099916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,masks/mask_004.jpg,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.39367197098909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2370,2406,prac_patch/patch0002370.jpg,prac_patch/patch0002406.jpg,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017047810106305405,31.445626952001476,31.445626952001476,31.445626952001476,31.445626952001476,0.07888888888888888,0.3288888888888889,1,0,0,response1disk,7,19.831853490002686,1,34.04799120599637,34.04799120599637,34.04799120599637,38.07554433098994,38.07554433098994,38.07554433098994,0.00013285900058690459,38.07554433098994,38.07554433098994,38.07554433098994,-0.013333333333333334,0.015555555555555555,1,0,0,center_square,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_004.jpg,0,1,1,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.052996077996795,41.53787613699387,41.687606770996354,41.71678065099695,41.71678065099695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_005.jpg,0,1,1,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.78089053099393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_001.jpg,0,1,1,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.83123877699836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_003.jpg,0,1,1,2,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89694188399881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_002.jpg,0,1,1,2,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.96230156200181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_004.jpg,0,1,1,2,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.68552524599363,42.00929960299982,42.504553737002425,42.65458009799477,42.68552524599363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_003.jpg,0,1,1,2,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.75162342599651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_005.jpg,0,1,1,2,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80310426899814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_001.jpg,0,1,1,2,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85990516199672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
0,131,5,5,2526,2526,prac_patch/patch0002526.jpg,prac_patch/patch0002526.jpg,masks/mask_002.jpg,0,1,1,2,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.927935556988814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452258,001,2023-01-26_16h51.35.885,Info_measure_main_exp,2022.2.4,60.04839660794077,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0049362330173607916,42.979289155991864,42.979289155991864,42.979289155991864,42.979289155991864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
