Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,instruction_1_text.started,all_patches.started,space_press_continue.started,press_space_continue.started,space_press_continue.keys,space_press_continue.rt,patch_1_movie.started,space_press_continue_2.started,space_press_continue_2.keys,space_press_continue_2.rt,patch_2_movie.started,space_press_continue_3.started,space_press_continue_3.keys,space_press_continue_3.rt,instruction_text_4.started,response_screen_intr.started,space_press_continue_4.started,space_continue_low.started,space_press_continue_4.keys,space_press_continue_4.rt,instruction_text_5.started,response_screen_after.started,space_press_continue_5.started,space_continue_low_2.started,space_press_continue_5.keys,space_press_continue_5.rt,prac_begin_space.started,space_press_continue_6.started,space_press_continue_6.keys,space_press_continue_6.rt,practice_patch_1.started,practice_patch_1.stopped,practice_patch_2.started,practice_patch_2.stopped,mouse.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,Pass,text_55.started,text_56.started,text_55.stopped,text_56.stopped,mouse_11.started,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,space_press_continue_7.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_001.jpg,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_003.jpg,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_004.jpg,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005882900033611804,16.44053999998141,0.16111111111111112,0.062037037037037036,1,0,0,response1disk,6,3.3279129999573343,1,19.780888699984644,19.780888699984644,23.78771720000077,23.78771720000077,2.519995905458927e-05,-0.004629629629629629,0.002777777777777778,1,0,0,center_square_2,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_005.jpg,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.273432400019374,27.433666399971116,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_003.jpg,0,1,1,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_001.jpg,0,1,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_004.jpg,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_002.jpg,0,1,1,1,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_002.jpg,0,1,1,1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.224981500010472,28.380589600012172,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_005.jpg,0,1,1,1,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_004.jpg,0,1,1,1,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_001.jpg,0,1,1,1,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_003.jpg,0,1,1,1,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005798499973025173,28.682675299991388,-0.09444444444444444,-0.14722222222222223,1,0,0,response5disk,3,3.076929199974984,1,31.766802900005132,31.766802900005132,35.766704500012565,35.766704500012565,1.9400031305849552e-05,-0.004629629629629629,0.009259259259259259,1,0,0,center_square_2,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
