participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt,space_press_continue_2.keys,space_press_continue_2.rt,space_press_continue_3.keys,space_press_continue_3.rt,space_press_continue_4.keys,space_press_continue_4.rt,space_press_continue_5.keys,space_press_continue_5.rt,space_press_continue_6.keys,space_press_continue_6.rt,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_1.ran,mask_name,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,prac_mask_loop_2.ran
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,space,25.6808,,,,,,,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,space,0.9139,,,,,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,space,0.3311,,,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,space,0.5649,,,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,space,0.143,,,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,space,0.1737,,,,,,,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,0,0,0,3,1,masks/mask_004.jpg,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,0,1,1,4,1,masks/mask_005.jpg,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,0,2,2,1,1,masks/mask_002.jpg,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,0,3,3,0,1,masks/mask_001.jpg,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,0,4,4,2,1,masks/mask_003.jpg,,,,,
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,masks/mask_003.jpg,0,0,0,2,1
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,masks/mask_001.jpg,0,1,1,0,1
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,masks/mask_002.jpg,0,2,2,1,1
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,masks/mask_004.jpg,0,3,3,3,1
392244,001,2022-11-21_01h56.28.667,Info_measure_main_exp,2022.2.2,Win32,59.333096,,,,,,,,,,,,,,,,,,masks/mask_005.jpg,0,4,4,4,1
