participant,session,date,expName,psychopyVersion,OS,frameRate,space_press_continue.keys,space_press_continue.rt,space_press_continue_2.keys,space_press_continue_2.rt,space_press_continue_3.keys,space_press_continue_3.rt,space_press_continue_4.keys,space_press_continue_4.rt,space_press_continue_5.keys,space_press_continue_5.rt,space_press_continue_6.keys,space_press_continue_6.rt,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_1.ran,mask_name
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,space,2.937,,,,,,,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,space,104.5795,,,,,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,space,3.4736,,,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,space,15.6781,,,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,space,11.3916,,,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,space,2.5833,,,,,,
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,0,0,0,4,1,masks/mask_005.jpg
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,0,1,1,1,1,masks/mask_002.jpg
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,0,2,2,0,1,masks/mask_001.jpg
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,0,3,3,3,1,masks/mask_004.jpg
921375,001,2022-11-21_24h58.23.121,Info_measure_main_exp,2022.2.2,Win32,59.84798612,,,,,,,,,,,,,0,4,4,2,1,masks/mask_003.jpg
