Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,practice_patch_1.started,practice_patch_1.stopped,practice_patch_2.started,practice_patch_2.stopped,mouse.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,Pass,text_55.started,text_56.started,text_55.stopped,text_56.stopped,mouse_11.started,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_005.jpg,0,1,1,1,,,,,0,0,0,4,,,23.085413699998753,23.235571199998958,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_004.jpg,0,1,1,1,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_001.jpg,0,1,1,1,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_003.jpg,0,1,1,1,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,masks/mask_002.jpg,0,1,1,1,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
2,0,131,5,5,2214,2082,prac_patch/patch0002214.jpg,prac_patch/patch0002082.jpg,,0,1,1,1,,,,,,,,,,,,,0.016768800021964125,23.552190700007486,0.15648148148148147,0.058333333333333334,1,0,0,response1disk,6,0.8510480999975698,1,24.40204800000356,24.40204800000356,28.401736500003608,28.401736500003608,2.2499996703118086e-05,-0.011111111111111112,0.001851851851851852,1,0,0,center_square_2,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_005.jpg,0,2,2,0,0,0,0,4,,,,,33.885379600003944,34.03546630000346,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_004.jpg,0,2,2,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_001.jpg,0,2,2,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_003.jpg,0,2,2,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_002.jpg,0,2,2,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_001.jpg,0,2,2,0,,,,,0,0,0,0,,,34.835371599998325,34.98531920000096,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_003.jpg,0,2,2,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_002.jpg,0,2,2,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_004.jpg,0,2,2,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
1,0,131,5,5,2178,2190,prac_patch/patch0002178.jpg,prac_patch/patch0002190.jpg,masks/mask_005.jpg,0,2,2,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,047778,001,2022-11-04_10h10.32.435,Info_measure_main_exp,2022.2.2,60.2250006030543,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.01686010001867544,35.30193970000255,-0.20462962962962963,0.026851851851851852,1,0,0,response7disk,1,0.9840204000065569,1,36.285605800003395,36.285605800003395,,,,,,,,,,,,,,,,
